video_id,chaine,titre,publiee,entites,forme_reconnue,extrait
yNmrqtPAbKc,FlorianOnAir,LA MEILLEURE VIANDE DU MONDE CUISINÉE DEVANT NOUS ! 😳,2026-06-02,CIFOG,lefoiegras,"est bon ? Wouh ! Regarde ça, c'est pas du poisson, c'est du wagou. Le goût là mais ça se voit ça bien ton passé. Tu as explosé la façon dont la viande elle a été un peu fumée tu vois c'est magnifique. Oh là là, ça c'est le foie gras. Oh là là ! Mais Z ça c'est mon pécher mignon. Regarde la beauté là du foie gras. Oh là ! Oh ouais ! C'est que la combinaison légumes fois gras comme ça là. Ouais mais c'est un artiste ce ch c'est un artiste bien sûr. Regarde ça. Une œuvre d'art. Oh là là ! Le"
nu3paiBv7N4,FlorianOnAir,K-REEN : LA PIONNIÈRE DU R’N’B FRANÇAIS RACONTE TOUT,2026-04-11,CNIEL,lesproduitslaitiers,"tés. Euh Singa m'a fait pareil l'autre jour, il m'a chanté Olive et Tom. Ouais, c'est ça. Toi, tu chantais quoi comme dessin animé ? Euh je chantais euh Jeanne et Serge de l'ég de Matie volleyball et et comme publicité, les produits laitiers sont nos amis pour la vie. Les produits laitiers sont nos amis pour la vie. Et les produits laitiers, si vous avez besoin d'une chanteuse en 2026, je suis là. Et ouais. Ouais, ça tu as fait tu as fait aussi tu as fait beaucoup de tuas tu as parfois chanté un p"
m6bAKFEb_fM,FlorianOnAir,Ce RESTO CORÉEN et JAPONAIS sort de l'ordinaire,2026-01-22,CIFOG,foiegras,"orc bien mariné avec la gourmandise du fromage là, bien fondu, bien onctueux. Ça ce sont des crêpes de fruits de mer au poireau. C'est original léger. Franchement, ça fait le job. Et là des rolls, mango mango, mangue et foie gras. Ah intéressant le combo entre la mangue et le fat. Et là maintenant qu'on est bien chaud, on va passer en mode barbecue. Et avant la viande là, on a tous les accompagnements qui arrivent. Donc on a le choix entre différentes viandes et là celle-ci c'est là c'e"
L2jKI2BXoQ4,FlorianOnAir,Ce CHEF fait le MEILLEUR HACHIS PARMENTIER ! Comment fait-il ?,2025-12-17,CIFOG,foiegras,". C'est vraiment sucré. Ça a beaucoup de goût, contrairement au champignons. L'idée qu'on s'en fait, là, on va le tu à trop de température. La promesse vous faire manger un tournu rossini. de champignons. Donc il y a du foie gras. Exactement. Là on va brêler ce petit eringi. On va le cuire entier comme une pièce de viande. Belle cuisson crue à l'intérieur cuit à l'extérieur parfaitement rôti. On va vous le servir sur un pain perdu a du pain avec le rossini. Petit pain perdu cuit vapeur"
Ucyb-JLq_mk,FlorianOnAir,ÉLU MEILLEUR BISTROT DE 2025 : on teste !,2025-12-15,CIFOG,lefoiegras,"même dans ta cuisine. J'ai de la place. Ça va. Ça c'est les suprêmes de volaille. Ouais. Là c'est le velé de butnet. C'est des oignons qu'on faire qu'on est en train de confire pour donner aux clients quand ils achètent le foie gras de confit. Ah ouais, c'est vra c'est trop bon le petit oignon dessus. cadeau. Une petite compotée d'oignon rouge et Ouais parce que là pour les fêtes, tu proposes à emporter ton saumon et ta terine de foie gras. Oh là là ! Maison donc il sera au resto pour les"
V_WGHKh_ND0,FlorianOnAir,La STAR du MARCHÉ ouvre enfin son RESTO ! 😍,2025-11-12,CIFOG,foiegras,"le pain et avec la mergise, on connait mais h franchement je suis fan de ces nouvelles frites. Ils sont pas des frites, des potoses mais mergise algérienne et fruit omelette là encore. Pourquoi du caviare ? Pourquoi du foie gras ? Pourquoi du saumon de fumée alors qu'on peut avoir un fruit omelette comme ça là ? H Je vais aller directement par là. J'aime trop l'omelette. C'est la vie hein. Ah ouais. Alle, tu as l'air d'avoir un peu faim toi aussi. Mais franchement je te regarde mais fré"
CZir69a-EDA,FlorianOnAir,🍔✨👉 Le Champion de France du Burger 2025 cartonne en Bretagne ! VLOG 1654,2025-08-20,CIFOG,lefoiegras,"s trop de dessert, tu fais je vais tout mettre sur l'entrée et le plat. Tu vois qu'il y a un dessert que tu aimes bien, tu vois, tu gères. Merci. Dégustation. Bon, du coup, on s'est pris quelques entrées à partager avec le foie gras maison, avec des nemes de légumes et avec cette petite fraîcheur au poulet. C'est c'est quoi la fraîcheur au poulet ? Ça, j'avais bien aimé. C'est du poulet avec de la mangue, une petite crème. C'est vachement bon. Je sais même pas trop comment il fait ça, mai"
t4EVdIXaZYg,FlorianOnAir,Les MEILLEURS RESTOS en NOUVELLE-AQUITAINE : PAS CHERS et 100% MAISON ! VLOG 1643,2025-07-09,CIFOG,lefoiegras,"a petite mayonnaise là, elle est délicieuse. La viande exquise. La mayonnaise, c'est quelque chose avec les petites capes là qui apporte le goût. Et là les gars, vous croyez que je vais venir dans le périgor sans manger le foie gras ? Quand il propose une escalope de foie gras de canard poilé. Moi fo gras poilé. Pauvre morceau d'escalope de foie gras poilé. Tiens, on va le prendre avec ça. Et c'est divin avec le spianata et la petite crme de petit poid. Ça je pouvais pas ne pas prendre cett"
RQy7TABBFKs,FlorianOnAir,LE SANDWICH CHAMPION de FRANCE est à METZ ? J'ai testé ! +Cérémonie du Guide MICHELIN 2025 VLOG 1631,2025-04-16,CIFOG,foiegras,"ouge, un écrasé de pomme de terre maison. Tous les produits viennent de Moselle. Oh là là, il y a du beau pâté croûte là par ici là. Alors le pâté en croûte ici on va avoir donc du mag de canard à l'intérieur, un insert foie gras au milieu, le contour qui est fait avec de la farce de porc relevé un petit peu à l'armaniaque et on l'accompagne avec une salade verte et une petite vinaigrette. Magnifique ! Regardez-moi ce pâté en croûte là avec du magret dedans. J'ai tout chopé la croûte,"
72M3EdVrMJc,FlorianOnAir,Le MEILLEUR de la FOOD au SALON de l'AGRICULTURE ! On mange tout ! VLOG 1622,2025-02-26,ANVOL,lavolaillefrancaise,ais c'est moi qui a commencé ta vidéo ça il y a rien qui va Flori mais comment comment comment tu fais ça comment tu fais ça je sais même pas je me suis dit je me suis levé je vais dir Flori en air je suis 4 au stand de la volaille française 4 ok ben là je viens de rentrer jusqu'ici je ne sens pas encore le du poulet les gars vous avez pas V Flor en a non bon ah je crois que j'ai trouver le stand de la voloille française et qui voisje qui voisje là-bas regardez le monsieur en rouge là je vois que
pgloCG2BC0E,FlorianOnAir,Ils RÉVOLUTIONNENT les RESTOS JAPONAIS À VOLONTÉ ! VLOG 1615,2025-02-05,CIFOG,foiegras,écoute direct plat spéciaux je me suis perdu moi dernière commande le soir 22h50 ça va il est 19h33 là on a de la marge ah ouais 1000 feuilles saumon oh là là ça déjà il en foire vas-y unagi au fromage de pièces nigiri foie gras moi j'aime pas trop le foie gras mais après je sais pas toi Flo vas-y moi je veux bien tenter ouais au fois gras allez c'est parti je cherche le truc à la burata ah j'en ai ouais j'ai V passer auudessus il y avait un truc à la burata burata rouleau c'est pas ç
qZ8AhZBY4nM,FlorianOnAir,Le Burger le + fat en hommage à Maïté !,2025-01-13,CIFOG,foiegras,u bien aimé le peser parce que c'est lourd on revisite le Burger King Size de mait mait la célèbre cuisinière nous a quitté il y a quelques semaines un hamburger elle en avait fait un énorme avec gésier de canard magret foie gras j'ai fixé le défi à Jo le champion du monde de Burger 2023 de revisiter ce burger tu as vu le pain qu'elle avait utilisé du coup j'ai fait un pain j'ai fait un potato bun mais avec des gratons et du romarin dedans donc des gratons de canard tu rappelles ce que
