createur,commanditaires,nombre_de_canaux,canaux,premiere_trace,derniere_trace,attestations
@gourmandiseries,Régilait,1,publicite payee,2026-07-22,2026-07-22,[publicite payee] Vous pensiez quand même pas qu'on allait oublier la pistache ? 😄 La vo
@jesta_hillmann,Le Gaulois,1,publicite payee,2026-06-01,2026-06-29,[publicite payee] 🚨 C’est le moment de voter pour la recette de pané que vous voulez voi
@justinbridou_fr,Justin Bridou,1,publicite payee,2025-08-20,2026-07-20,[publicite payee] Je ne veux plus être ami avec ces gens là  Pour votre santé évitez de 
@la_cuisine_d_aline___,Soignon,1,publicite payee,2026-08-18,2026-08-21,[publicite payee] Vous avez cuisiné avec les produits Soignon & Sainte Lucie 1885… et qu
@la_parisienne_course,Soignon,1,publicite payee,2026-08-20,2026-08-21,[publicite payee] JEU CONCOURS : Gagnez votre dossard pour La Parisienne ! 🏃‍♀️  Prêtes 
@lagrange.france,Aoste,1,publicite payee,2026-01-01,2026-01-01,[publicite payee] Et si on prolongeait l’esprit des fêtes… juste un peu ?   Après les to
@lecoindupatissier,Fleury Michon,1,publicite payee,2026-04-15,2026-04-24,[publicite payee] On a ramené le soleil (et pas mal de BPM) pour le lancement de nos nou
@lefiltre.media,Activia,1,publicite payee,2026-06-30,2026-07-16,"[publicite payee] Le microbiote, ça vous parle ? 👀 On a testé vos connaissances au Women"
@legaulois_offciel,Le Gaulois,1,publicite payee,2025-08-22,2025-08-22,[publicite payee] 🚨 Gagnez des magnets au choix ! 🚨   5 gagnants seront tirés au sort et
@legaulois_officiel,Le Gaulois,1,publicite payee,2025-10-29,2026-08-26,"[publicite payee] CONCOURS ! 🚴 La course est terminée, mais il nous reste tout UN set de"
@lestudiodanielle,Le Gaulois,1,publicite payee,2026-06-01,2026-06-29,[publicite payee] 🚨 C’est le moment de voter pour la recette de pané que vous voulez voi
@letourdefrance,Charal,1,publicite payee,2026-07-08,2026-07-21,[publicite payee] La semaine dernière on a vécu de nouveaux moments inoubliables sur le 
@lolotambouille,Socopa,1,publicite payee,2025-09-29,2025-09-29,"[publicite payee] Pavés de rumsteck aux 3 poivres, sauce moutarde & aubergines rôties 🐂 "
@louloukitchen_,Fleury Michon,1,publicite payee,2026-07-07,2026-07-07,"[publicite payee] Pour votre santé, évitez de grignoter entre les repas. www.mangerbouge"
@ma_vie_caramel,Régilait,1,publicite payee,2025-12-03,2026-08-20,[publicite payee] 🍦 Tout est parti de là… Notre première recette de glace ! C'était il y
@maitrecoq_officiel,Maître CoQ,1,publicite payee,2025-09-01,2026-08-26,[publicite payee] 🎲Soirée jeux🎲 Et on a déjà marqué des points côté repas : Tenders de p
@mamienovafrance,Mamie Nova,1,publicite payee,2025-09-18,2025-12-19,[publicite payee] Vous aussi vous essayez de rendre les petits moments simples un peu pl
@mamienovaofficiel,Mamie Nova,1,publicite payee,2025-11-07,2025-12-02,[publicite payee] Retour en enfance activé le temps d’un Gourmand® Le Mixé @mamienovaoff
@mapetiteviie,Grand Fermage,1,publicite payee,2026-07-01,2026-07-01,[publicite payee] Direction la ferme de Franck 🐄  Une journée pour découvrir son quotidi
@mariahcarey,Le Gaulois,1,publicite payee,2025-11-19,2025-11-19,"[publicite payee] Avant Noël, c’est toujours l’heure d’un bon poulet rôti Le Gaulois ! 🍗"
@mlg.photographe,Fleury Michon,1,publicite payee,2025-10-17,2026-06-16,"[publicite payee] Un poké bowl au surimi, plein de couleurs et de fraîcheur… parfait pou"
@nutritionbymanon,Paysan Breton,1,publicite payee,2026-01-13,2026-01-13,"[publicite payee] Aujourd’hui, @nutritionbymanon nous partage un souvenir plein de gourm"
@OldElPaso,Charal,1,publicite payee,2026-04-24,2026-04-24,"[publicite payee] Une recette simple, gourmande et ultra réconfortante 🇲🇽🌯⁣ Le burrito a"
@oldelpasofrance,Charal,1,publicite payee,2025-12-04,2025-12-04,[publicite payee] 🚨 JEU CONCOURS 🚨��Pour un date réussit ou à défaut une soirée entre am
@paysanbreton_officiel,Paysan Breton,1,publicite payee,2026-03-11,2026-05-22,[publicite payee] Pour célébrer l’arrivée de nos nouveaux Yaourts & Fromages Blancs Pays
@peredodu_officiel,Père Dodu,1,publicite payee,2025-09-08,2026-07-20,[publicite payee] On n’a pas vu le temps passer… Un clin d'oeil et hop plus de nuggets !
@pounsitime,Fleury Michon,1,publicite payee,2026-04-20,2026-04-24,[publicite payee] On a ramené le soleil (et pas mal de BPM) pour le lancement de nos nou
@primealefrance,Grand Fermage,1,publicite payee,2026-05-20,2026-05-20,"[publicite payee] CONCOURS 😋  Parce que les plaisirs simples sont les meilleurs, @grand_"
@regilaitfr,Régilait,1,publicite payee,2025-12-03,2026-07-14,[publicite payee]  Régilait France (@regilaitfr) • Instagram photos and videos | Régil
@reine.mere,Grand Fermage,1,publicite payee,2026-01-09,2026-01-09,[publicite payee] 👑 Jeu concours spécial Épiphanie 👑  Grand Fermage et Reine Mère s’asso
@rom_laurent,Le Gaulois,1,publicite payee,2026-07-15,2026-07-15,[publicite payee] Il va falloir faire partie du peloton de tête si vous voulez collectio
@rougemadamestudio,Régilait,1,publicite payee,2025-12-08,2026-07-22,"[publicite payee] On a vérifié plusieurs fois la recette, on l'a relue... 🍫 Oui, c’est ç"
@sabrina.aime.trop.le.chocolat,Socopa,1,publicite payee,2025-09-18,2025-09-18,"[publicite payee] JEU CONCOURS - Burger gourmand aux champignons, viande de grison et br"
@saintelucie1885,Soignon,1,publicite payee,2026-07-23,2026-07-23,[publicite payee] JEU CONCOURS – Le kit apéro de l’été ☀️  Le soleil qui réchauffe la te
@salon_des_seniors,Soignon,1,publicite payee,2026-03-09,2026-03-09,"[publicite payee] Tout est prêêêêt, il ne manque plus que vous !  Retrouvez-nous au @sal"
@salondelagriculture,Soignon,1,publicite payee,2026-02-03,2026-02-10,"[publicite payee] Tout est prêêêêt, il ne manque plus que vous !  Nous vous attendons av"
@socopa.france,Socopa,1,publicite payee,2026-08-17,2026-08-17,"[publicite payee] La rentrée, ça rime souvent avec... liste de courses qui s’allonge. 🛒 "
@socopa_officiel,Socopa,1,publicite payee,2026-02-12,2026-08-24,[publicite payee] Il y a des priorités dans la vie…et ce sont les barbecue Socopa ! 😎 So
@socopale,Socopa,1,publicite payee,2025-09-18,2025-09-18,"[publicite payee] JEU CONCOURS - Burger gourmand aux champignons, viande de grison et br"
@socopalesmordusdelaviande,Socopa,1,publicite payee,2025-08-12,2025-12-18,"[publicite payee] Tarte rustique poireaux & saucisses 🍴  Les tartes rustiques, une super"
@soignon_officiel,Soignon,1,publicite payee,2026-02-03,2026-08-21,[publicite payee] JEU CONCOURS : Gagnez votre dossard pour La Parisienne ! 🏃‍♀️  Prêtes 
@sophiecuisine,Régilait,1,publicite payee,2026-01-19,2026-07-10,[publicite payee] C'est parti pour le mois de la glace !  Première recette : la glace au
@tableauxparis,Soignon,1,publicite payee,2026-07-06,2026-07-06,"[publicite payee] Un apéro à partager, inspiré du célèbre @tableauxparis ✨  Une planche "
@tendriade.officiel,Tendriade,1,publicite payee,2025-08-22,2026-08-11,"[publicite payee] ☀️ JEU CONCOURS ☀️ Cet été, place aux bons moments autour de la table "
@vandbfest,Le Gaulois,1,publicite payee,2026-07-28,2026-07-31,[publicite payee] CONCOURS Le festival @vandbfest revient et on vous régale !  📍 Quand :
@virginie_dub46,Socopa,1,publicite payee,2025-09-18,2025-09-18,"[publicite payee] JEU CONCOURS - Burger gourmand aux champignons, viande de grison et br"
@voilamargaux,Paysan Breton,1,publicite payee,2026-02-22,2026-02-22,"[publicite payee] Un gâteau qui sent bon les vacances en Bretagne.  Aujourd’hui, on prép"
AgenceBio,CNIEL | INTERBEV,1,description,2015-02-28,2021-03-11,"[description] Replay La Quotidienne ""Dossier BIO"" avec Philippe Henry et Christophe "
Agriskippy,CNIEL,1,site du lobby,,,[site du lobby] La ferme des célébrités
Aimez la viande,CNIEL | INTERBEV,1,description,2013-11-27,2026-07-24,[description] Bien manger pour bien bouger - LIVE Voiron
Alkpote,CNIEL,1,site du lobby,,,[site du lobby] Check Food
Anne . Papilles et Pupilles,INTERBEV,1,chaine du lobby,2026-03-16,2026-03-16,[chaine du lobby] L’Amour Bœuf - l’entrecôte
Anne Reverdy,INTERBEV,1,chaine du lobby,2014-12-19,2014-12-19,[chaine du lobby] Entretien avec Anne du blog Panier de Saison
Anthony Lastella,CNIEL,1,site du lobby,,,[site du lobby] La Carotte d'Avner
"automatique peut mal découper un nom, en inventer un, ou en manquer",CNIEL,1,site du lobby,,,[site du lobby] Myriam met du beurre dans tes épinards
Benjamin,CNIEL,1,chaine du lobby,2021-03-01,2021-03-01,[chaine du lobby] DANS NOS ASSIETTES - BENJAMIN
Bertrand,INTERBEV,1,chaine du lobby,2014-02-24,2014-05-26,"[chaine du lobby] Interview Métiers - Bertrand, chef cuisinier en restauration scolaire"
BiodiversiTerre,INTERBEV,1,chaine du lobby,2017-09-05,2017-09-05,[chaine du lobby] BiodiversiTerre
BLANDINE,INTERBEV,1,chaine du lobby,2013-09-27,2013-09-27,[chaine du lobby] Débat sur la transmission culinaire - C'est pas tranché!
Boucherie Charcuterie A.mareau,INTERBEV,1,chaine du lobby,2022-04-04,2022-04-04,"[chaine du lobby] Nicolas Pegheaire, 25 ans:Les Nouveaux visages de la filière élevage e"
Brigitte Lecordier,CNIEL,1,chaine du lobby,2023-02-15,2023-05-31,[chaine du lobby] Pub Les Produits Laitiers Manga - Filière Laitière
C'est précisément le rôle du classeur de vérification,CNIEL,1,site du lobby,,,[site du lobby] Myriam met du beurre dans tes épinards
Caballero & JeanJass,CNIEL,1,site du lobby,,,[site du lobby] Check Food
Ce relevé provient d'une lecture automatique de la page. Les titres et les,CNIEL,1,site du lobby,,,[site du lobby] Myriam met du beurre dans tes épinards
Charline,INTERBEV,1,chaine du lobby,2015-08-21,2015-08-21,[chaine du lobby] Entretien avec Charline Picon - Championne du Monde RS:X 2014 - Planch
Chef Pincemin,CNIEL,1,site du lobby,,,[site du lobby] Check Food
Chef Pâtissier,CNIEL,1,chaine du lobby,2026-02-24,2026-02-24,[chaine du lobby] CHAUD! - Épisode 4 (avec Jeffrey Cagnes)
Christian,CIFOG | INTERBEV,1,chaine du lobby,2013-05-23,2013-12-04,[chaine du lobby] Traçabilité - Christian Etchebest - Connaître l'origine de la viande e
Claire Sauzel,CNIEL,1,description,2021-06-04,2021-06-10,[description] une journée dans mon assiette! 🦋 RECETTES HEALTHY et FACILES (Acai Bow
Concours Général Agricole,Paysan Breton,1,publicite payee,2026-03-09,2026-03-11,"[publicite payee] Pour célébrer nos médailles obtenues au Concours Général Agricole, nou"
Cuisinons En Couleurs,ANVOL,1,description,2025-06-16,2025-06-16,"[description] Shawarma maison, la recette facile"
Daniel Lee,Le Gaulois,1,publicite payee,2026-06-18,2026-06-29,[publicite payee] Il ne vous reste plus que quelques jours pour voter pour la recette qu
Danielle,CNIEL,1,site du lobby,,,[site du lobby] La ferme des célébrités
Danonino,Danonino,1,publicite payee,2026-07-30,2026-07-30,"[publicite payee] Les parents, on vous a entendus ! Fini les négociations avec vos enfan"
Denitsa,CNIEL,1,site du lobby,,,[site du lobby] La ferme des célébrités
Doctor JFK,CNIEL,1,description,2026-05-11,2026-05-11,[description] le mensonge de la margarine 🧈
Dévore des Yeux,INTERBEV,1,chaine du lobby,2014-12-19,2014-12-19,[chaine du lobby] Entretien avec Anne du blog Panier de Saison
e-Boucherie normande,INTERBEV,1,chaine du lobby,2020-10-19,2020-10-19,"[chaine du lobby] Sonia et Romain, éleveurs de bœufs Label Rouge en Auvergne"
Elise Gilmor 🌞,CNIEL,1,description,2024-11-10,2024-11-10,[description] MON RÉÉQUILIBRAGE ANTI-INFLAMMATOIRE  - THYROIDE - ÉPISODE 1
Emeline Franque,CNIEL,1,description,2023-02-28,2023-02-28,[description] Les produits laitiers sont nos amis pour la vie ! #bébé #biberon #dme 
En rang d'oignons,Fleury Michon,1,publicite payee,2026-02-09,2026-02-09,[publicite payee] On fait quoi avec des restes de raclette ? Ben… on fait des enchiladas
Etienne Coudret,Le Gaulois,1,publicite payee,2026-07-02,2026-07-02,[publicite payee] STOP. ON T’OFFRE LA POSSIBILITÉ DE MONTER DANS LA CARAVANE LE GAULOIS.
Fabien Patanchon,INTERBEV,1,chaine du lobby,2026-07-17,2026-07-17,[chaine du lobby] Bien manger pour bien bouger - LIVE Bordeaux
Fabrice Mignot,INTERBEV,1,chaine du lobby,2016-02-28,2016-02-28,"[chaine du lobby] Fabrice Mignot, Chef 02 - Recette express de tournedos de cheval façon"
FandeFoieGras,CIFOG,1,chaine du lobby,2023-11-08,2024-12-10,[chaine du lobby] Biscuits au Foie Gras 🎄
Festival de Cannes,Mamie Nova,1,publicite payee,2026-06-01,2026-06-01,"[publicite payee] Au Festival de Cannes, tout le monde regarde l’écran…  Nous, on préfèr"
FLAVIE DELAPORTE,Charal,1,publicite payee,2026-06-19,2026-06-22,"[publicite payee] Pour nos 40 ans, on avait envie de marquer le coup. Pas au fer rouge, "
Floriane,CIFOG,1,chaine du lobby,2021-10-28,2021-10-28,[chaine du lobby] Rencontres sur la route du Foie Gras – E2 : En cuisine avec Matthias M
FlorianOnAir,ANVOL | CIFOG | INAPORC | INTERBEV,1,description,2018-05-18,2025-03-06,"[description] Mars , c'est le mois de la Volaille Française !"
foiegrasfrancais,CIFOG,1,chaine du lobby,2023-11-08,2024-12-10,[chaine du lobby] Biscuits au Foie Gras 🎄
Fromaville - Yaourterie artisanale,CNIEL,1,chaine du lobby,2024-01-17,2024-01-17,"[chaine du lobby] LES STAGIAIRES (AVEC OCÉANE, LE MOTIF, JOËL ET YASSENCORE)"
Gaëlle Garcia Diaz,CNIEL,1,site du lobby,,,[site du lobby] Check Food
Gino Catena,ANVOL,1,chaine du lobby,2021-10-12,2021-10-25,[chaine du lobby] Volaillissimes - Marché de gros : rencontre avec Gino Catena (version 
Golo & Ritchie,CNIEL,1,site du lobby,,,[site du lobby] La ferme des célébrités
Guillaume Sanchez,CNIEL,1,site du lobby,,,[site du lobby] CHAUD!
Hakim Jemili,CNIEL,1,site du lobby,,,[site du lobby] Humour
Haristone,CNIEL,1,site du lobby,,,[site du lobby] Check Food
Hervé Cuisine,CNIEL,1,description,2024-05-24,2026-07-24,[description] Quiche sans pâte ultra moelleuse aux légumes d’été et mozzarella
Hugo Tout Seul,CNIEL,1,site du lobby,,,[site du lobby] La Carotte d'Avner
Ile de France,ANVOL,1,chaine du lobby,2022-11-09,2022-11-09,[chaine du lobby] Volaillissimes - Volailler : rencontre avec Frédéric Boulajeri (versio
Inoxtag,CNIEL,1,description,2020-08-15,2024-09-20,[description] On répond à vos question sur KAIZEN ! (Ft. Mathis)
Inoxtag 2.0,CNIEL,1,description,2026-06-27,2026-06-27,[description] Dégustation dans le plus grand buffet d’Europe et je découvre ma nouve
Jérémie Beyou,Charal,1,publicite payee,2025-11-25,2025-11-25,[publicite payee] Ils ont tenu la barre et la cadence. 💪 Nos skippers Jérémie Beyou et M
Jok'air,CNIEL,1,site du lobby,,,[site du lobby] Check Food
Jorick Dorignac,CNIEL,1,site du lobby,,,[site du lobby] CHAUD!
julienduboue,INAPORC,1,chaine du lobby,2023-02-17,2023-02-17,[chaine du lobby] Roulé de jambon blanc macédoine de légumes par Julien Duboué
Juste Zoé,CNIEL,1,description,2024-04-20,2024-04-20,[description] JE VOUS PRÉSENTE MON NOUVEAU PAPI ( il est épique )
Justin Bridou,Justin Bridou,1,publicite payee,2025-08-20,2026-08-24,[publicite payee] Situation universelle 🌍  #vacances #saucisson #voyage #voiture #justin
Karmine Corp,Charal,1,publicite payee,2026-04-21,2026-04-21,[publicite payee] 🎮 JEU CONCOURS 🎮  Envie d’assister au LEC Spring Roadtrip by Karmine C
KIKESA,CNIEL,1,site du lobby,,,[site du lobby] Check Food
La Brigade,CIFOG | CNIEL,1,chaine du lobby,2024-04-25,2026-03-06,[chaine du lobby] CHAUD! - Épisode 5 (avec Philippine Jaillet)
Label Rouge,INTERBEV,1,chaine du lobby,2013-07-11,2026-02-05,"[chaine du lobby] Sonia et Romain, éleveurs de bœufs Label Rouge en Auvergne"
Laura Martinez,INTERBEV,1,chaine du lobby,2026-07-24,2026-07-24,[chaine du lobby] Bien manger pour bien bouger - LIVE Voiron
laviandetv,INTERBEV,1,chaine du lobby,2014-02-24,2014-03-10,[chaine du lobby] Interview de Marine Le Pen - Salon de l'agriculture 2014
Le Chat Toqué,CNIEL,1,description,2025-01-29,2026-06-17,"[description] Il fait beau, il fait chaud... Un Fresh Dwich' ? 🥪"
Les produits tripiers,INTERBEV,1,chaine du lobby,2014-02-19,2016-03-02,"[chaine du lobby] Dominique Groussard, Artisan Tripier 05 - Les produits tripiers pour l"
LesCharcuteries,INAPORC,1,chaine du lobby,2016-04-05,2016-04-05,[chaine du lobby] Les préparations de charcuteries : réaliser un plat de charcuterie
LORIS GIULIANO,CNIEL,1,description,2019-08-22,2025-12-12,[description] LORIS GIULIANO - NAPOLI
L’Amour Bœuf,INTERBEV,1,chaine du lobby,2026-03-16,2026-07-31,[chaine du lobby] L’Amour Bœuf - Épisode 07 - Le burger des champions
Madrange,INAPORC,1,description,2019-10-31,2026-07-28,[description] Les jambons origine France Madrange
Maison Terrasson,ANVOL,1,chaine du lobby,2022-11-02,2022-11-09,[chaine du lobby] Volaillissimes - Boulangerie-Snacking : rencontre avec Geoffroy Terras
Marché de Rungis,CNIEL,1,description,2020-12-23,2024-04-04,[description] Retour en images sur la 2ème Grande Chasse à l’Œuf au Marché Internati
"Margaux Lifestyle | Running, SOPK & Lipœdème",CNIEL,1,description,2025-10-26,2025-10-26,[description] Mon petit déjeuner SOPK friendly : un chia porridge avec du GYN OPK
Medine,CNIEL,1,site du lobby,,,[site du lobby] Humour
Mercotte,INAPORC,1,chaine du lobby,2018-05-14,2023-02-17,[chaine du lobby] Feuilleté de boudin aux poires crème de ciboulette de Mercotte
Michou,CNIEL,1,description,2022-05-08,2022-05-08,[description] ÉNORME MATCH DE HOCKEY SUR GLACE ENTRE YOUTUBEURS et STREAMEURS ! (ptd
Myriam,CNIEL,1,site du lobby,,,[site du lobby] Myriam met du beurre dans tes épinards
MYRIAMANHATTAN,CNIEL,1,description,2017-11-12,2017-11-12,[description] RECETTE DE LA HESS : BARRE LION 🦁🍫!
Naturellement Flexitariens,INTERBEV,1,description,2019-02-18,2023-09-05,"[description] Aimez la viande, mangez-en mieux."
Nino Arial,CNIEL,1,site du lobby,,,[site du lobby] La ferme des célébrités
noms doivent être **vérifiés un par un** avant toute publication : une lecture,CNIEL,1,site du lobby,,,[site du lobby] Myriam met du beurre dans tes épinards
Oh! La vie Est belle,CNIEL,1,description,2023-02-02,2023-02-02,[description] Crêpes sarrasin
Omnivore,INTERBEV,1,chaine du lobby,2026-03-04,2026-03-04,"[chaine du lobby] Campagne collective ""Aimez la viande Mangez-en mieux"" signée ""Celles e"
ON MANGE QUOI ⁉️,Fleury Michon | Socopa,1,publicite payee,2026-04-03,2026-07-31,[publicite payee] Publicité 🍔 On connait tous la fameuse question « on mange quoi ce soi
Ophély Mézino,CNIEL,1,description,2022-03-11,2022-03-11,"[description] Weekly #VLOG n°1: PARIS FASHION WEEK, ÉVÈNEMENTS, UNE SEMAINE DANS MA "
Oxmo Puccino,CNIEL,1,site du lobby,,,[site du lobby] Check Food
p h i l i p p e,CIFOG | INTERBEV,1,chaine du lobby,2020-06-02,2023-09-20,[chaine du lobby] BIEN ÉLEVÉE ! Émission 2 - Autonomie alimentaire avec Philippe SELLIER
pepites2noisette,INAPORC,1,chaine du lobby,2026-01-23,2026-08-04,[chaine du lobby] Le Porc Français - Roulé de courgettes viral au jambon @pepites2noiset
Philippe Katerine,CNIEL,1,site du lobby,,,[site du lobby] Check Food
Philippine Jaillet,CNIEL,1,site du lobby,,,[site du lobby] CHAUD!
Pierre Croce,CNIEL,1,description,2021-10-11,2021-10-11,[description] Le premier qui monte les plus hauts escaliers du monde gagne
Pirate,CNIEL,1,site du lobby,,,[site du lobby] Check Food
Poisson Fécond,CNIEL,1,description,2022-11-25,2022-11-25,[description] 1 An à Boire Que du Lait : ÇA FAIT QUOI ?!
Produits Laitiers,CNIEL,1,description,2009-10-09,2026-02-24,[description] CHAUD! - Épisode 4 (avec Jeffrey Cagnes)
PumbaTheLion,INTERBEV,1,description,2025-03-16,2025-03-16,[description] Peut-on aimer les animaux et manger de la viande ?
Quentin Mauro,CNIEL,1,site du lobby,,,[site du lobby] CHAUD!
Ragnar Le Breton,CNIEL,1,site du lobby,,,[site du lobby] CHAUD!
RebeuDeter,CNIEL,1,description,2021-12-18,2023-09-14,[description] On s'envoie sur une île avec Amine 🏝️
Roi Heenok,CNIEL,1,site du lobby,,,[site du lobby] Check Food
Romuald Fassenet,CNIEL,1,chaine du lobby,2020-12-08,2020-12-08,[chaine du lobby] Morgan VS découvre les AOP : le Comté
S.Pri Noir,CNIEL,1,site du lobby,,,[site du lobby] Check Food
Sandrine,Grand Fermage,1,publicite payee,2026-05-12,2026-05-12,"[publicite payee] Aujourd’hui, c’est Sandrine, éleveuse de notre coopérative, qui nous p"
Seth Gueko,CNIEL,1,site du lobby,,,[site du lobby] Check Food
Sido Cuisto,CNIEL,1,site du lobby,,,[site du lobby] Myriam met du beurre dans tes épinards
