membre;categorie_membre;affilie_a;siren_affiliation;date_fin
FEDERATION DES FROMAGERS DE FRANCE;Organisation syndicale et professionnelle;COMITE NATIONAL POUR PROMOTION DE L OEUF;440302610;
FEDERATION ENTREP COMMERCE DISTRIBUTION;Organisation syndicale et professionnelle;COMITE NATIONAL POUR PROMOTION DE L OEUF;440302610;
UNION GROUP PROD VIANDE BRETAGNE;Organisation syndicale et professionnelle;COMITE REGIONAL PORCIN;423376797;
ASS  F N P L;Organisation syndicale et professionnelle;CONFEDERATION NATIONALE DE L ELEVAGE;378479877;
CONFED PROD INDUSTR ROQUEFORT;Organisation syndicale et professionnelle;CONSEIL NATIONAL DES APPELLATIONS D'ORIGINES LAITIERES;514642578;
HERTA SAS;Autre organisation;FED FSE IND CHARCUTERIE TRAIT TRANS VIAN;784357725;
BEL;Société commerciale et civile (autre que cabinet d’avocats et société de conseil);FEDER NATIONAL INDUST LAITIERE;784357741;
DANONE PRODUITS FRAIS FRANCE;Société commerciale et civile (autre que cabinet d’avocats et société de conseil);FEDER NATIONAL INDUST LAITIERE;784357741;
GROUPE LACTALIS;Société commerciale et civile (autre que cabinet d’avocats et société de conseil);FEDER NATIONAL INDUST LAITIERE;784357741;
YOPLAIT FRANCE;Société commerciale et civile (autre que cabinet d’avocats et société de conseil);FEDER NATIONAL INDUST LAITIERE;784357741;
FNSEA 63;Organisation syndicale et professionnelle;FEDERATION NATIONALE BOVINE;378479984;
FED DEP SYNDICATS EXPLOITANTS AGRICOLES;Organisation syndicale et professionnelle;FEDERATION NATIONALE PORCINE;318353992;
FEDERATION DEPARTEMENTALE OVINE DES ALPES-MARITIMES;Organisation syndicale et professionnelle;FEDERATION REGIONALE OVINE DU SUD EST;503788382;
FEDERATION DEPARTEMENTALE OVINE DES ALPES-MARITIMES;Organisation syndicale et professionnelle;FNO FEDERATION NATIONALE OVINE;308575125;
FEDERATION DEPARTEMENTALE OVINE DU VAUCLUSE;Organisation syndicale et professionnelle;FNO FEDERATION NATIONALE OVINE;308575125;
ASS  F N P L;Organisation syndicale et professionnelle;INSTITUT DE L'ELEVAGE;302984158;
CULTURE VIANDE;Organisation syndicale et professionnelle;INSTITUT DE L'ELEVAGE;302984158;
GROUPE LACTALIS;Société commerciale et civile (autre que cabinet d’avocats et société de conseil);INSTITUT PROFESSIONNEL DU LAIT DE CONSOMMATION;430119180;
CONFEDERATION FRANCAISE DE LA BOUCHERIE - BOUCHERIE CHARCUTERIE - TRAITEURS;Organisation syndicale et professionnelle;INTERBEV;378355929;
CONFEDERATION PAYSANNE;Organisation syndicale et professionnelle;INTERBEV;378355929;
COORDINATION RURALE - UNION NATIONALE;Organisation syndicale et professionnelle;INTERBEV;378355929;
CULTURE VIANDE;Organisation syndicale et professionnelle;INTERBEV;378355929;
FEDERATION ENTREP COMMERCE DISTRIBUTION;Organisation syndicale et professionnelle;INTERBEV;378355929;
COMITE REGIONAL PORCIN;Association;INTERPROFESSION NATIONALE PORCINE;448608067;
CONFEDERATION FRANCAISE DE LA BOUCHERIE - BOUCHERIE CHARCUTERIE - TRAITEURS;Organisation syndicale et professionnelle;INTERPROFESSION NATIONALE PORCINE;448608067;
COORDINATION RURALE - UNION NATIONALE;Organisation syndicale et professionnelle;INTERPROFESSION NATIONALE PORCINE;448608067;
CULTURE VIANDE;Organisation syndicale et professionnelle;INTERPROFESSION NATIONALE PORCINE;448608067;
FED FSE IND CHARCUTERIE TRAIT TRANS VIAN;Fédération professionnelle;INTERPROFESSION NATIONALE PORCINE;448608067;
FEDERATION ENTREP COMMERCE DISTRIBUTION;Organisation syndicale et professionnelle;INTERPROFESSION NATIONALE PORCINE;448608067;
FEDERATION NATIONALE PORCINE;Organisation syndicale et professionnelle;INTERPROFESSION NATIONALE PORCINE;448608067;
SYND NAL INDUSTRIE NUTRITION ANIMALE;Organisation syndicale et professionnelle;INTERPROFESSION NATIONALE PORCINE;448608067;
CONFEDERATION FRANCAISE DE LA BOUCHERIE - BOUCHERIE CHARCUTERIE - TRAITEURS;Organisation syndicale et professionnelle;INTERPROFESSION VOLAILLE DE CHAIR;850410697;
COORDINATION RURALE - UNION NATIONALE;Organisation syndicale et professionnelle;INTERPROFESSION VOLAILLE DE CHAIR;850410697;
FEDERATION DES INDUSTRIES AVICOLES;Fédération professionnelle;INTERPROFESSION VOLAILLE DE CHAIR;850410697;
FEDERATION ENTREP COMMERCE DISTRIBUTION;Organisation syndicale et professionnelle;INTERPROFESSION VOLAILLE DE CHAIR;850410697;
SYND NAT DE LA RESTAURATION COLLECTIVE;Organisation syndicale et professionnelle;INTERPROFESSION VOLAILLE DE CHAIR;850410697;
CHAMBRE D AGRICULTURE DES VOSGES;Chambre consulaire;SYNDICAT DES VOSGES DE LA RACE BOVINE VOSGIENNE;808103378;
SODIAAL UNION;Coopérative agricole;SYNDICAT NATIONAL DU LAIT DE CONSOMMATION  SYNDILAIT;813080744;
GROUPE LACTALIS;Société commerciale et civile (autre que cabinet d’avocats et société de conseil);SYNDIFRAIS;784856130;
SODIAAL UNION;Coopérative agricole;SYNDIFRAIS;784856130;
YOPLAIT FRANCE;Société commerciale et civile (autre que cabinet d’avocats et société de conseil);SYNDIFRAIS;784856130;
